profile,threads,layer,mean_ms,std_ms,per_record_ms_mean,iters,n_test
workstation,8,L1,0.15443333298511183,0.0006548958612759635,0.00022156862695137995,3,697
workstation,8,L2,3277.4197666670566,6.946048563639189,4.70218043998143,3,697
workstation,8,L3,96.33179999946151,2.7138843783932605,0.13820918220869657,3,697
workstation,8,L4,0.7615000007111424,0.016143316522558637,0.0010925394558266033,3,697
workstation,8,total,3374.667500000214,9.61626321284535,4.841703730272904,3,697
commodity,1,L1,0.15426666686835233,0.004786322655310058,0.0002213295077020837,3,697
commodity,1,L2,3218.0540333332224,35.77405382903707,4.617007221424997,3,697
commodity,1,L3,105.2373333338134,24.661866329277178,0.15098613103846972,3,697
commodity,1,L4,0.7955999996435518,0.0477121221564951,0.001141463414122743,3,697
commodity,1,total,3324.2412333335474,12.475124024534477,4.769356145385291,3,697
