drop_p,model,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,fpr_mean,fpr_std,auroc_mean,auroc_std,ap_mean,ap_std
0.0,XChainWatcher,0.976923076923077,0.018842228790639817,1.0,0.0,0.9882352941176471,0.009605842128561503,0.0008928571428571428,0.0007290148043997554,0.9995535714285715,0.00036450740219984924,0.976923076923077,0.018842228790639817
0.0,Graph2Vec,0.7092747999029834,0.08462191482285826,0.984,0.01959591794226544,0.8212306433201956,0.05628463584692732,0.015773809523809523,0.006355403721447209,0.9990357142857142,0.0004215697907053673,0.9776132188097841,0.009675781626511072
0.0,GCN,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,4.965068306494546e-17,1.0,0.0
0.0,GraphSAGE,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.1102230246251565e-16
0.0,B-Sentry-critical,1.0,0.0,0.984,0.01959591794226544,0.9918367346938777,0.00999791731748237,0.0,0.0,1.0,0.0,1.0,0.0
0.0,B-Sentry-tiered,0.702535999774372,0.09217797443122563,1.0,0.0,0.8218559244194669,0.06332647605185918,0.016666666666666666,0.007005120414249892,1.0,0.0,1.0,0.0
0.1,XChainWatcher,0.9759743589743589,0.019643033973776487,0.976,0.03199999999999999,0.9758335334133653,0.02371841110551488,0.0008928571428571428,0.0007290148043997554,0.9875535714285715,0.01622577341112334,0.9538218577787587,0.04488374024881471
0.1,Graph2Vec,0.6892479790324618,0.06721792246556214,0.9120000000000001,0.016000000000000014,0.7832431773879142,0.044349776329286356,0.015773809523809523,0.004944418966022663,0.9811904761904762,0.01517018909533464,0.9291616683113931,0.014995775691847832
0.1,GCN,1.0,0.0,0.9200000000000002,1.1102230246251565e-16,0.9583333333333334,0.0,0.0,0.0,0.9993630952380952,0.0007323122142490356,0.990329993535876,0.010696639244432435
0.1,GraphSAGE,1.0,0.0,0.9200000000000002,1.1102230246251565e-16,0.9583333333333334,0.0,0.0,0.0,0.999470238095238,0.0005716765335020558,0.9902939096350443,0.009776829921403602
0.1,B-Sentry-critical,1.0,0.0,0.9120000000000001,0.016000000000000014,0.9539007092198581,0.008865248226950362,0.0,0.0,0.9858809523809524,0.017724403472558676,0.9739020058017773,0.02720419238541888
0.1,B-Sentry-tiered,0.6886174549077776,0.07732267299695658,0.96,0.02529822128134702,0.8004658411666199,0.06094103011040972,0.016666666666666666,0.005520011009223634,0.9858809523809524,0.017724403472558676,0.9739020058017773,0.02720419238541888
0.25,XChainWatcher,0.9738181818181818,0.021469948246000736,0.8879999999999999,0.05878775382679627,0.9279738715097509,0.03542256399102278,0.0008928571428571428,0.0007290148043997554,0.9435535714285713,0.029456820843697454,0.8690644893700273,0.06253871831098173
0.25,Graph2Vec,0.6438340725016742,0.10353649827407391,0.744,0.01959591794226544,0.6859988935795387,0.05931769031460375,0.016369047619047616,0.006786758482732964,0.9595595238095237,0.022256257241381767,0.8149549786518747,0.017214884586802256
0.25,GCN,1.0,0.0,0.76,0.0,0.8636363636363636,0.0,0.0,0.0,0.9876547619047619,0.014648450344854503,0.946471058809248,0.018809138597891687
0.25,GraphSAGE,1.0,0.0,0.76,0.0,0.8636363636363636,0.0,0.0,0.0,0.9670357142857142,0.021753567226430497,0.9360188263046979,0.013646492732926561
0.25,B-Sentry-critical,1.0,0.0,0.7120000000000001,0.029933259094191512,0.831420517467029,0.0203165570025275,0.0,0.0,0.9728095238095238,0.02461190833206627,0.9164157484463477,0.03724883615116711
0.25,B-Sentry-tiered,0.6629740531448312,0.11092358058216491,0.8560000000000001,0.03199999999999999,0.7437314247732991,0.07892729997552798,0.017261904761904763,0.007386710503565986,0.9728095238095238,0.02461190833206627,0.9164157484463477,0.03724883615116711
0.5,XChainWatcher,0.9671241830065359,0.02699085271200031,0.744,0.07418894796396562,0.8397958495835139,0.057051912138996845,0.0008928571428571428,0.0007290148043997554,0.8715535714285714,0.03739989188841728,0.7304972421488921,0.08756266626002349
0.5,Graph2Vec,0.5639215201011935,0.07743555721192032,0.504,0.01959591794226544,0.529394889698841,0.035912378552324535,0.015178571428571427,0.005015565341176404,0.9198690476190476,0.02433757883940329,0.6398217658004606,0.04844503094779597
0.5,GCN,1.0,0.0,0.52,0.0,0.6842105263157895,0.0,0.0,0.0,0.976845238095238,0.025315553866619104,0.8752089477437742,0.06714450613764471
0.5,GraphSAGE,1.0,0.0,0.52,0.0,0.6842105263157895,0.0,0.0,0.0,0.9629940476190477,0.017390669169116496,0.8816810915990508,0.05079774600235036
0.5,B-Sentry-critical,1.0,0.0,0.48,0.035777087639996645,0.64785838470049,0.03269344016664706,0.0,0.0,0.9409047619047619,0.018645738085493798,0.7968906611734564,0.04323314673479192
0.5,B-Sentry-tiered,0.6304967905657561,0.09748035173133682,0.7120000000000001,0.058787753826796275,0.6675160365310008,0.0795949435890299,0.01607142857142857,0.005599668964948446,0.9409047619047619,0.018645738085493798,0.7968906611734564,0.04323314673479192
0.75,XChainWatcher,0.9636904761904763,0.030607047933767714,0.648,0.09260669522232183,0.7715901631066,0.06887208772005769,0.0008928571428571428,0.0007290148043997554,0.8235535714285716,0.046343330633627174,0.6380779189724671,0.09276536564757856
0.75,Graph2Vec,0.3781385281385281,0.10096793595309346,0.24,0.0,0.28881262701860705,0.029855921722901038,0.016369047619047616,0.006520506636966262,0.8292976190476191,0.08053236099730625,0.3926679172572914,0.07022666516224105
0.75,GCN,1.0,0.0,0.24,0.0,0.3870967741935484,0.0,0.0,0.0,0.9660535714285714,0.01791525860627484,0.8124137824765569,0.10484869835091025
0.75,GraphSAGE,1.0,0.0,0.24,0.0,0.3870967741935484,0.0,0.0,0.0,0.9713749999999999,0.01661768312040673,0.8552870380008608,0.05727071562988638
0.75,B-Sentry-critical,1.0,0.0,0.23199999999999998,0.01599999999999999,0.3763440860215054,0.021505376344086023,0.0,0.0,0.8699642857142857,0.07515056315728541,0.6713426281158866,0.0773077033794891
0.75,B-Sentry-tiered,0.5569109730848861,0.13335358525775026,0.544,0.06974238309665076,0.5475408805031446,0.0968122758112587,0.017261904761904763,0.007142857142857143,0.8699642857142857,0.07515056315728541,0.6713426281158866,0.0773077033794891
1.0,XChainWatcher,0.9512820512820512,0.04354782633455385,0.528,0.12237646832622684,0.6721627150059722,0.11356482789176643,0.0008928571428571428,0.0007290148043997554,0.7635535714285714,0.06131565098832802,0.5228784166574698,0.12476670892312745
1.0,Graph2Vec,0.02,0.04,0.008,0.016,0.011428571428571429,0.022857142857142857,0.017261904761904763,0.005615464959557502,0.7955833333333333,0.11846583077505721,0.17713579121593628,0.08053366730347823
1.0,GCN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9442678571428571,0.019403187929153756,0.7352242343202111,0.12681355356376858
1.0,GraphSAGE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9197678571428571,0.0463729688420854,0.7496817349914301,0.09699703844440413
1.0,B-Sentry-critical,0.2,0.4000000000000001,0.008,0.016,0.015384615384615385,0.03076923076923077,0.0,0.0,0.8429761904761905,0.09352071356770728,0.546888777627404,0.1037750760435802
1.0,B-Sentry-tiered,0.4626617826617827,0.12264643106861554,0.4,0.0839047078536121,0.42680412643655374,0.09632725101507678,0.018154761904761903,0.006200198409523708,0.8429761904761905,0.09352071356770728,0.546888777627404,0.1037750760435802
