config,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,fpr_mean,fpr_std,auroc_mean,auroc_std,ap_mean,ap_std
B-Sentry,1.0,0.0,0.984,0.01959591794226544,0.9918367346938777,0.00999791731748237,0.0,0.0,1.0,0.0,1.0,0.0
no-L2,0.976923076923077,0.018842228790639817,1.0,0.0,0.9882352941176471,0.009605842128561503,0.0008928571428571428,0.0007290148043997554,0.9995535714285715,0.00036450740219984924,0.976923076923077,0.018842228790639817
no-L3,0.6859277625778993,0.06458337840635772,0.984,0.01959591794226544,0.8065207598372556,0.04620790179230452,0.017261904761904763,0.005373651811091603,0.9991071428571429,0.0004879500364742643,0.9800485331056246,0.009286273205203132
