drop_p,model,seed,precision,recall,f1,fpr,auroc,ap,n_test,n_test_mal,n_perturbed
0.1,XChainWatcher,4,0.96,0.96,0.96,0.001488095238095238,0.9792559523809523,0.9230347202295552,697,25,2
0.1,Graph2Vec,4,0.6875,0.88,0.7719298245614035,0.01488095238095238,0.971190476190476,0.9130103257264619,697,25,2
0.1,GCN,4,1.0,0.92,0.9583333333333334,0.0,0.9984226190476191,0.9751190476190478,697,25,2
0.1,GraphSAGE,4,1.0,0.92,0.9583333333333334,0.0,0.9986011904761904,0.9747772657450078,697,25,2
0.1,B-Sentry-critical,4,1.0,0.88,0.9361702127659575,0.0,0.973452380952381,0.9621231422505307,697,25,2
0.1,B-Sentry-tiered,4,0.6857142857142857,0.96,0.8,0.01636904761904762,0.973452380952381,0.9621231422505307,697,25,2
0.1,XChainWatcher,5,1.0,1.0,1.0,0.0,1.0,1.0,697,25,2
0.1,Graph2Vec,5,0.7931034482758621,0.92,0.8518518518518519,0.008928571428571428,0.9903571428571429,0.9330727384574246,697,25,2
0.1,GCN,5,1.0,0.92,0.9583333333333334,0.0,0.9999999999999999,1.0,697,25,2
0.1,GraphSAGE,5,1.0,0.92,0.9583333333333334,0.0,1.0,0.9999999999999999,697,25,2
0.1,B-Sentry-critical,5,1.0,0.92,0.9583333333333334,0.0,1.0,1.0,697,25,2
0.1,B-Sentry-tiered,5,0.8064516129032258,1.0,0.8928571428571429,0.008928571428571428,1.0,1.0,697,25,2
0.25,XChainWatcher,1,0.9545454545454546,0.84,0.8936170212765957,0.001488095238095238,0.9192559523809523,0.8075570627364028,697,25,6
0.25,Graph2Vec,1,0.5135135135135135,0.76,0.6129032258064516,0.026785714285714284,0.9266071428571429,0.8153439049777467,697,25,6
0.25,GCN,1,1.0,0.76,0.8636363636363636,0.0,0.9970833333333333,0.9547905673897468,697,25,6
0.25,GraphSAGE,1,1.0,0.76,0.8636363636363636,0.0,0.9576785714285714,0.9212574478508438,697,25,6
0.25,B-Sentry-critical,1,1.0,0.72,0.8372093023255814,0.0,0.929047619047619,0.8525260819761257,697,25,6
0.25,B-Sentry-tiered,1,0.5128205128205128,0.8,0.625,0.028273809523809524,0.929047619047619,0.8525260819761257,697,25,6
0.25,XChainWatcher,2,0.96,0.96,0.96,0.001488095238095238,0.9792559523809523,0.9230347202295552,697,25,6
0.25,Graph2Vec,2,0.6129032258064516,0.76,0.6785714285714286,0.017857142857142856,0.9847023809523809,0.8383139113920627,697,25,6
0.25,GCN,2,1.0,0.76,0.8636363636363636,0.0,0.9591071428571429,0.9379519031692946,697,25,6
0.25,GraphSAGE,2,1.0,0.76,0.8636363636363636,0.0,0.9329761904761904,0.9234190376880681,697,25,6
0.25,B-Sentry-critical,2,1.0,0.76,0.8636363636363636,0.0,0.9972619047619048,0.9534279818646827,697,25,6
0.25,B-Sentry-tiered,2,0.6285714285714286,0.88,0.7333333333333333,0.019345238095238096,0.9972619047619048,0.9534279818646827,697,25,6
0.25,XChainWatcher,3,1.0,0.96,0.9795918367346939,0.0,0.98,0.9614347202295552,697,25,6
0.25,Graph2Vec,3,0.6666666666666666,0.72,0.6923076923076923,0.013392857142857142,0.9843452380952381,0.8284797263991404,697,25,6
0.25,GCN,3,1.0,0.76,0.8636363636363636,0.0,0.9888690476190476,0.945716537205899,697,25,6
0.25,GraphSAGE,3,1.0,0.76,0.8636363636363636,0.0,0.9815476190476191,0.9310955091714106,697,25,6
0.25,B-Sentry-critical,3,1.0,0.72,0.8372093023255814,0.0,0.9939285714285715,0.9504839661242745,697,25,6
0.25,B-Sentry-tiered,3,0.7096774193548387,0.88,0.7857142857142857,0.013392857142857142,0.9939285714285715,0.9504839661242745,697,25,6
0.25,XChainWatcher,4,0.9545454545454546,0.84,0.8936170212765957,0.001488095238095238,0.9192559523809523,0.8075570627364028,697,25,6
0.25,Graph2Vec,4,0.6,0.72,0.6545454545454545,0.017857142857142856,0.9507142857142856,0.801723665683663,697,25,6
0.25,GCN,4,1.0,0.76,0.8636363636363636,0.0,0.994702380952381,0.9184340789234406,697,25,6
0.25,GraphSAGE,4,1.0,0.76,0.8636363636363636,0.0,0.9971428571428571,0.9542938882255958,697,25,6
0.25,B-Sentry-critical,4,1.0,0.68,0.8095238095238095,0.0,0.9660714285714286,0.9005915597642387,697,25,6
0.25,B-Sentry-tiered,4,0.6176470588235294,0.84,0.711864406779661,0.019345238095238096,0.9660714285714286,0.9005915597642387,697,25,6
0.25,XChainWatcher,5,1.0,0.84,0.9130434782608695,0.0,0.9199999999999999,0.8457388809182209,697,25,6
0.25,Graph2Vec,5,0.8260869565217391,0.76,0.7916666666666666,0.005952380952380952,0.9514285714285714,0.7909136848067612,697,25,6
0.25,GCN,5,1.0,0.76,0.8636363636363636,0.0,0.9985119047619048,0.9754622073578596,697,25,6
0.25,GraphSAGE,5,1.0,0.76,0.8636363636363636,0.0,0.9658333333333333,0.9500282485875707,697,25,6
0.25,B-Sentry-critical,5,1.0,0.68,0.8095238095238095,0.0,0.9777380952380952,0.9250491525024165,697,25,6
0.25,B-Sentry-tiered,5,0.8461538461538461,0.88,0.8627450980392157,0.005952380952380952,0.9777380952380952,0.9250491525024165,697,25,6
0.5,XChainWatcher,1,0.9411764705882353,0.64,0.7619047619047619,0.001488095238095238,0.8192559523809525,0.6152654232424678,697,25,12
0.5,Graph2Vec,1,0.4482758620689655,0.52,0.48148148148148145,0.023809523809523808,0.90875,0.639941146199237,697,25,12
0.5,GCN,1,1.0,0.52,0.6842105263157895,0.0,0.9952380952380953,0.9122340484997689,697,25,12
0.5,GraphSAGE,1,1.0,0.52,0.6842105263157895,0.0,0.9966071428571428,0.9363819128890537,697,25,12
0.5,B-Sentry-critical,1,1.0,0.44,0.6111111111111112,0.0,0.9137500000000001,0.7371246764474537,697,25,12
0.5,B-Sentry-tiered,1,0.48484848484848486,0.64,0.5517241379310345,0.025297619047619048,0.9137500000000001,0.7371246764474537,697,25,12
0.5,XChainWatcher,2,0.95,0.76,0.8444444444444444,0.001488095238095238,0.8792559523809524,0.7306083213773314,697,25,12
0.5,Graph2Vec,2,0.5416666666666666,0.52,0.5306122448979592,0.01636904761904762,0.941845238095238,0.6676469349253709,697,25,12
0.5,GCN,2,1.0,0.52,0.6842105263157895,0.0,0.9280952380952382,0.8464644191748498,697,25,12
0.5,GraphSAGE,2,1.0,0.52,0.6842105263157895,0.0,0.9518154761904762,0.8229249746631743,697,25,12
0.5,B-Sentry-critical,2,1.0,0.52,0.6842105263157895,0.0,0.9660714285714286,0.7907308304937571,697,25,12
0.5,B-Sentry-tiered,2,0.5862068965517241,0.68,0.6296296296296297,0.017857142857142856,0.9660714285714286,0.7907308304937571,697,25,12
0.5,XChainWatcher,3,1.0,0.8,0.8888888888888888,0.0,0.9,0.8071736011477763,697,25,12
0.5,Graph2Vec,3,0.6,0.48,0.5333333333333333,0.011904761904761904,0.9448809523809524,0.7129285890062823,697,25,12
0.5,GCN,3,1.0,0.52,0.6842105263157895,0.0,0.9973214285714285,0.9605,697,25,12
0.5,GraphSAGE,3,1.0,0.52,0.6842105263157895,0.0,0.9522619047619048,0.9244344705772987,697,25,12
0.5,B-Sentry-critical,3,1.0,0.48,0.6486486486486487,0.0,0.9498809523809524,0.8480971060908414,697,25,12
0.5,B-Sentry-tiered,3,0.7142857142857143,0.8,0.7547169811320755,0.011904761904761904,0.9498809523809524,0.8480971060908414,697,25,12
0.5,XChainWatcher,4,0.9444444444444444,0.68,0.7906976744186046,0.001488095238095238,0.8392559523809525,0.6536999840586641,697,25,12
0.5,Graph2Vec,4,0.5454545454545454,0.48,0.5106382978723404,0.01488095238095238,0.9252380952380953,0.605265632727028,697,25,12
0.5,GCN,4,1.0,0.52,0.6842105263157895,0.0,0.9850595238095238,0.7624973080026823,697,25,12
0.5,GraphSAGE,4,1.0,0.52,0.6842105263157895,0.0,0.9632142857142858,0.8182811042758412,697,25,12
0.5,B-Sentry-critical,4,1.0,0.44,0.6111111111111112,0.0,0.9488690476190477,0.7654871002698426,697,25,12
0.5,B-Sentry-tiered,4,0.6071428571428571,0.68,0.6415094339622641,0.01636904761904762,0.9488690476190477,0.7654871002698426,697,25,12
0.5,XChainWatcher,5,1.0,0.84,0.9130434782608695,0.0,0.9199999999999999,0.8457388809182209,697,25,12
0.5,Graph2Vec,5,0.6842105263157895,0.52,0.5909090909090909,0.008928571428571428,0.8786309523809525,0.5733265261443843,697,25,12
0.5,GCN,5,1.0,0.52,0.6842105263157895,0.0,0.9785119047619049,0.89434896304157,697,25,12
0.5,GraphSAGE,5,1.0,0.52,0.6842105263157895,0.0,0.9510714285714286,0.9063829955898864,697,25,12
0.5,B-Sentry-critical,5,1.0,0.52,0.6842105263157895,0.0,0.925952380952381,0.8430135925653869,697,25,12
0.5,B-Sentry-tiered,5,0.76,0.76,0.76,0.008928571428571428,0.925952380952381,0.8430135925653869,697,25,12
0.75,XChainWatcher,1,0.9285714285714286,0.52,0.6666666666666666,0.001488095238095238,0.7592559523809523,0.5000737856118057,697,25,19
0.75,Graph2Vec,1,0.25,0.24,0.24489795918367346,0.026785714285714284,0.7749999999999999,0.3804279749697015,697,25,19
0.75,GCN,1,1.0,0.24,0.3870967741935484,0.0,0.9525297619047619,0.7168243799552998,697,25,19
